date,sin_t,cos_t,aus0052-0088,aus0052-0088_Dp_mean,aus0052-0088_Hs_mean,aus0052-0088_Hs_peak,aus0052-0088_Tp_mean
1987-09-11,-0.9417589340994617,-0.33628873017668287,30.055495170297235,84.93444,0.44675246,0.48743322,11.097374
1987-09-18,-0.9753363880767837,-0.2207236509605022,,67.41996,0.47627786,1.0429302,7.639631
1987-09-25,-0.994788305609327,-0.10196189005174576,,67.98213,0.5180271,0.74301213,7.3635383
1987-10-02,-0.999832969770105,0.018276557681691223,41.898667182682686,66.38135,0.65313274,1.2574787,6.8414598
1987-10-09,-0.9903973200352558,0.13825031091098192,,49.23099,0.6506329,1.1117808,6.3903084
1987-10-16,-0.9666180104000972,0.2562218218071163,,62.05235,1.0050383,3.0434048,8.12742
1987-10-23,-0.9288394302558068,0.3704825404820963,,62.98098,1.1181468,1.5483637,8.839665
1987-10-30,-0.8776087166898392,0.4793776594606945,,70.77018,0.9231372,2.101588,8.640044
1987-11-06,-0.8136678304455991,0.5813300798152042,,67.755325,0.8621219,1.5127205,6.5755644
1987-11-13,-0.7379428103031386,0.6748632518680403,,69.61381,0.7816575,1.1540775,7.4617543
1987-11-20,-0.6515303615068021,0.75862255966641,,81.871765,0.5550054,1.300245,7.6559725
1987-11-27,-0.5556819724760489,0.8313949395234058,,67.41798,0.7867522,1.5362514,8.7153425
1987-12-04,-0.451785789832884,0.8921264484954345,,49.13439,1.1023362,2.6355915,6.662713
1987-12-11,-0.34134651424503615,0.9399375283564133,,49.309723,0.93942225,1.6981541,6.4148703
1987-12-18,-0.22596360824801906,0.974135744004672,24.849618708005778,62.38725,0.7299651,1.1950179,7.811289
1987-12-25,-0.10730813165636247,0.9942258118156161,,67.64217,1.0338382,1.5289477,9.6342125
1988-01-01,0.017201575418260506,0.9998520419557735,12.13137434691518,67.5,1.2728902,1.5461606,10.516713
1988-01-08,0.13718540405660057,0.9905453876091833,,67.21396,1.2315493,1.5815027,9.718611
1988-01-15,0.2551824131233728,0.9668929289391521,,62.035202,1.9791505,3.2026236,10.104138
1988-01-22,0.3694836834473831,0.9292372181882051,3.732532796435976,66.70984,1.4061123,2.9296227,8.30239
1988-01-29,0.4784338202547012,0.8781236129591848,,72.241455,1.4292952,2.1508603,8.964449
1988-02-05,0.580454927809098,0.8142923779467267,,67.65749,1.2669389,2.1444755,9.565477
1988-02-12,0.6740694616546162,0.7386679638813748,,79.04506,0.8337206,1.3920895,9.607717
1988-02-19,0.7579216274973472,0.6523456189565257,8.037086823821568,79.09239,0.9723655,1.4300711,10.753585
1988-02-26,0.8307970168121247,0.5565755266413303,,65.30358,0.96383595,1.4700229,9.707563
1988-03-04,0.8916401947968874,0.45274469960737107,,66.63878,1.5549643,2.223232,9.647267
1988-03-11,0.9395699859530622,0.342356891994542,,68.49257,1.742885,2.8882036,12.675365
1988-03-18,0.9738922359149924,0.22701082094141847,,70.13856,0.63664913,0.8668293,10.90919
1988-03-25,0.9941098647022418,0.10837701279187609,,67.61226,1.188655,1.6240295,8.296487
1988-04-01,0.9999300657962057,-0.011826390691832589,,66.03475,1.1656034,1.5359093,9.701502
1988-04-08,0.9912685467787256,-0.13185851571739118,-4.148006564871281,67.66355,2.3587906,3.595325,9.0308
1988-04-15,0.9682507501166718,-0.2499809690726521,,69.3431,2.2376027,3.7909954,10.5398035
1988-04-22,0.9312100364121947,-0.3644830148102912,-5.159421668216623,68.27206,1.3055078,1.708119,10.232054
1988-04-29,0.8806828564301475,-0.47370635037968,,74.563965,1.1653748,2.245494,9.613001
1988-05-06,0.8174009818249189,-0.5760691233798758,,67.30431,1.875368,2.4508696,10.715891
1988-05-13,0.742280907086982,-0.6700888411055113,,76.05318,0.8213799,1.5716698,8.686259
1988-05-20,0.6564105761979381,-0.7544038410927472,,64.3506,0.8250371,1.4050891,8.300322
1988-05-27,0.5610336262283677,-0.8277930117131022,2.1725563609432186,80.73524,0.61847526,0.8470717,9.564187
1988-06-03,0.4575313760742512,-0.8891934772070711,,73.02972,1.2423029,3.0303082,9.57098
1988-06-10,0.3474028211842774,-0.9377159910299093,1.585490435863278,66.44341,1.64724,4.6942368,9.729525
1988-06-17,0.23224292400907015,-0.9726578145718654,,72.34115,0.7641187,1.4766293,9.490631
1988-06-24,0.11371951458594969,-0.9935128947338007,,76.708275,0.8048099,1.1540184,9.220653
1988-07-01,-0.00645086419810515,-0.9999791929590823,,66.66879,0.94843453,1.5067679,8.843577
1988-07-08,-0.12652781683868314,-0.9919630595773397,,62.151833,2.0961864,4.1555047,9.0937395
1988-07-15,-0.24477230089725957,-0.9695805901076308,,67.65616,1.393386,1.7404913,9.325506
1988-07-22,-0.3594718130884232,-0.9331559438780432,,68.4557,0.8050025,1.213352,10.291202
1988-07-29,-0.46896519100763184,-0.8832166493127127,,67.78427,0.5960275,0.97728944,8.914921
1988-08-05,-0.5716666713027052,-0.8204859638785327,,67.22036,0.8697947,1.2821193,8.799841
1988-08-12,-0.666088855860977,-0.7458723993404063,,77.662735,0.71667457,1.1047091,9.782828
1988-08-19,-0.7508642533989489,-0.6604565640279754,,59.6378,0.92101586,1.194128,7.502794
1988-08-26,-0.8247650844733614,-0.5654755126737576,,61.17059,0.91933197,1.6751416,7.287093
1988-09-02,-0.886721063082993,-0.46230483047981086,5.481545775406886,66.16805,1.1124128,1.6783742,8.081821
1988-09-09,-0.9358348973349941,-0.35243871088460327,,67.90187,0.8359446,1.4221939,9.7187605
1988-09-16,-0.97139528468375,-0.23746831555846842,,64.39227,1.5618833,3.209376,8.393486
1988-09-23,-0.9928872135356962,-0.11905873003404988,,66.471085,0.9445208,1.8978434,9.957658
1988-09-30,-0.9999994220246925,0.001075151282798226,-3.625062286230019,58.32442,1.0755206,1.7792764,7.289491
1988-10-07,-0.9926289059345095,0.12119346147073601,,51.783646,0.9571485,1.8456454,7.026463
1988-10-14,-0.9708824104813836,0.2395565591209271,,56.84908,0.9007472,1.4134879,7.8881826
1988-10-21,-0.9350748843515574,0.3544502230989869,,51.767708,0.78053266,1.3479164,6.400161
1988-10-28,-0.8857249183835637,0.4642104791518923,,66.79362,0.854694,1.2234722,7.8017187
1988-11-04,-0.8235472349556007,0.5672476988027229,,60.132034,1.1251193,1.5323159,7.46268
1988-11-11,-0.7494423368521953,0.6620696215153815,,70.39252,1.8538989,3.030247,10.141478
1988-11-18,-0.6644834655228552,0.7473029667054297,,67.58303,1.4884717,2.1728232,9.590213
1988-11-25,-0.5699010576127624,0.821713322596059,,53.008846,1.2220337,1.7751657,7.469288
1988-12-02,-0.46706492487743034,0.8842230238742036,-15.813855433933298,59.839554,0.7586389,1.0485936,8.069661
1988-12-09,-0.3574644155648614,0.9339267592294762,,57.03076,1.3383584,1.9700793,8.251813
1988-12-16,-0.2426868445825954,0.9701046827361175,,71.73661,1.5259066,2.534052,8.136098
1988-12-23,-0.12439450483979998,0.9922328391893008,,64.88717,2.273765,4.4220586,10.285445
1988-12-30,-0.004300592702981974,0.9999907524084426,,67.77295,1.9907267,3.1042871,12.157709
1989-01-06,0.10303137904317879,0.9946781061893646,-22.246197765267596,69.30233,1.4831787,2.1919098,10.580848
1989-01-13,0.22177215755648186,0.975098513039961,,66.72872,1.0939105,1.9114914,9.9191065
1989-01-20,0.3373010691361842,0.9413968285264122,,69.97282,1.0280104,1.2927362,8.738793
1989-01-27,0.44794493940789115,0.8940611451454876,,73.61479,1.1725843,1.8837842,8.758421
1989-02-03,0.5521013427459208,0.8337770129585915,,79.57597,1.0239403,1.9220828,9.639732
1989-02-10,0.6482618097757122,0.7614175109532997,,63.2149,0.84319806,1.4519827,7.783581
1989-02-17,0.7350336741329412,0.6780306024735382,,61.634212,1.8736863,2.7326145,10.323655
1989-02-24,0.8111602420785621,0.5848239578463322,-27.826457336671922,65.47917,1.5803615,2.442397,10.467272
1989-03-03,0.8755389928586302,0.4831474640149687,,67.4853,2.1455834,2.851973,10.552933
1989-03-10,0.9272375462179537,0.374473674486883,-7.67834090407564,67.80735,1.484415,2.2586536,10.4223995
1989-03-17,0.9655071658143364,0.2603764827344581,,62.21396,1.3160487,2.087979,8.537113
1989-03-24,0.9897936029670716,0.14250832791617088,,67.508286,1.1356274,1.9119698,7.6872725
1989-03-31,0.9997451236925734,0.022576263041545485,,70.328674,1.3647588,2.4548366,8.560518
1989-04-07,0.9952176027737294,-0.09768276782171598,,67.55343,2.7608707,3.5345874,10.685804
1989-04-14,0.9762766110869321,-0.21652708524481437,-0.4902480626511192,65.61938,1.4156339,1.9573313,10.14554
1989-04-21,0.9431964659565866,-0.33223549871590435,,67.78512,1.0651006,1.6158156,9.747099
1989-04-28,0.8964562582905575,-0.44313223418263453,,63.6875,2.5067215,6.3776836,10.261919
1989-05-05,0.8367329140344921,-0.5476112038402312,,70.44015,0.69899535,0.8989621,9.780359
1989-05-12,0.7648913904341226,-0.6441592666722685,,65.41768,1.1760671,1.5519377,8.039076
1989-05-19,0.6819721490904629,-0.7313781428679254,,67.20832,1.3806436,1.8740377,7.5314374
1989-05-26,0.5891760872322963,-0.8080046647350754,,67.672455,1.1417128,1.9031917,9.395937
1989-06-02,0.4878471454423119,-0.8729290708206411,,68.60889,1.5495307,2.9480815,10.274492
1989-06-09,0.37945284372454435,-0.925211078289358,,72.34755,1.3659378,2.1527297,8.894246
1989-06-16,0.26556302780405594,-0.9640935007889755,-4.784239010456474,73.48692,0.7926425,1.1290327,9.355735
1989-06-23,0.14782713347053048,-0.9890132145779883,,72.80443,1.0065981,2.4318118,10.06353
1989-06-30,0.02795029824021032,-0.999609314096404,,83.03038,1.102685,2.6938982,8.879806
1989-07-07,-0.09233133369539123,-0.9957283388645872,,66.073906,1.2587022,2.5264657,11.604969
1989-07-14,-0.2112757555821793,-0.9774264960104055,,66.6745,0.6447468,1.4167483,9.3140545
1989-07-21,-0.3271603271220951,-0.9449688462364056,,87.374016,0.4490685,0.7013793,8.701668
1989-07-28,-0.4383067230125192,-0.898825465016444,,72.42206,1.1317008,2.211328,9.474757
1989-08-04,-0.5431052396834317,-0.8396646346181327,-12.540438545923877,70.139694,0.87201893,1.5909883,10.686168
1989-08-11,-0.6400381082043503,-0.7683431655492202,,69.94974,1.0090911,1.4083192,12.777446
1989-08-18,-0.7277014757264236,-0.6858939875998223,-11.358000535968841,81.70737,0.7791635,2.1072476,11.489072
1989-08-25,-0.8048257371083452,-0.593511190196115,,65.139946,2.005176,2.9246638,11.914778
1989-09-01,-0.8702939222685674,-0.49253272872205434,,51.709007,0.6552424,1.1063257,8.495485
1989-09-08,-0.9231578729647039,-0.38442104726885545,,81.34916,0.69063395,1.0014292,8.595984
1989-09-15,-0.9626519747161487,-0.2707418984477642,,61.59156,0.92646897,1.8807961,11.03353
1989-09-22,-0.9882042449941422,-0.15314166701312007,-6.7481969500231855,55.951138,0.71737355,1.2587879,8.039149
1989-09-29,-0.9994446170919858,-0.033323525711631344,,62.64702,0.78211737,1.2809645,8.449287
1989-10-06,-0.9962102997023297,0.0869772313136861,,66.572426,0.933764,1.3859485,9.1635275
1989-10-13,-0.9785481345802031,0.20601832032517084,,37.8754,0.9820784,1.9385028,6.36345
1989-10-20,-0.9467139181463862,0.3220757010206104,,52.54681,0.8667701,1.327614,6.102034
1989-10-27,-0.9011686968561569,0.4334685453485363,,47.172718,0.88529676,1.5364256,6.1047583
1989-11-03,-0.8425720899866032,0.5385835804920232,,70.51336,1.0511277,1.8790656,9.196643
1989-11-10,-0.7717727365467837,0.6358984534680745,,66.1714,1.1841669,2.1067474,9.342368
1989-11-17,-0.6897960046655887,0.7240037789593305,,64.21167,1.148319,1.3677944,10.499576
1989-11-24,-0.5978291414589552,0.801623551065242,,67.47506,0.7754208,1.1575602,10.672931
1989-12-01,-0.4972040784469378,0.8676336233547726,,69.52734,1.1569062,1.4481223,12.302907
1989-12-08,-0.3893781415452015,0.9210779895789526,,66.7256,1.3237506,1.5890656,8.863367
1989-12-15,-0.27591294500296043,0.9611826292540837,,67.763405,1.5284046,2.4857612,9.551009
1989-12-22,-0.15845177496083632,0.9873667175937016,,71.91545,1.0235567,1.5093569,8.833166
1989-12-29,-0.03869579017652689,0.9992510374388481,,60.766743,0.96554047,2.0492878,7.8742704
1990-01-05,0.08590610426133272,0.9963032375991965,,72.85248,0.95020074,1.3302593,8.2623825
1990-01-12,0.20496611396949532,0.9787690698649216,,67.632675,1.1824366,1.5520018,9.10777
1990-01-19,0.321057654185271,0.9470596510722283,,68.63747,0.98912764,1.5099757,7.4175153
1990-01-26,0.4324994021339788,0.901634220265486,,67.68826,1.4467452,2.536078,9.829762
1990-02-02,0.5376773767406141,0.8431506618282,,69.15519,1.7789282,4.6569724,9.975024
1990-02-09,0.6350683134867438,0.7724559775191742,,67.71242,1.4773198,3.5988836,10.550278
1990-02-16,0.7232617254437388,0.6905740195722293,,68.245224,0.94108534,1.9146329,10.688215
1990-02-23,0.8009803309782905,0.5986906625177214,,67.533875,1.3254026,1.6629517,9.898842
1990-03-02,0.8670985522812081,0.4981366284784055,,65.67805,1.4009094,1.9012544,9.000192
1990-03-09,0.9206588168102428,0.3903682146763026,,63.63288,0.9243642,1.2639989,11.424125
1990-03-16,0.9608854255574977,0.27694620226893646,-1.5307618398851446,70.192,1.0546244,1.4246439,9.08322
1990-03-23,0.9871957872910085,0.15951325197263655,,72.24298,1.377403,2.5534804,8.779813
1990-03-30,0.9992088560679753,0.03977011384605572,,67.62669,1.8853343,2.5468128,9.853934
